id,bureauvote
DBV005048, BUREAU FOKONTANY SALLE1
DBV005050, EP LES ROSSIGNOLS SALLE1
DBV005052, EP LES ROSSIGNOLS SALLE1
DBV005053, EP LES ROSSIGNOLS SALLE4
DBV005054, CEG ANDRANOMENA SALLE 2
DBV005055, LYCEE PRIVEE FARIMBONA SALLE 3
DBV005056, LYCEE PRIVEE FARIMBONA SALLE 3
DBV005057, LYCEE PRIVEE FARIMBONA SALLE 1
DBV005058, LYCEE PRIVEE FARIMBONA SALLE 4
DBV005059, EPP BETAFO SALLE1
DBV005061, BUREAU FOKONTANY SALLE2
DBV005062, BUREAU FOKONTANY SALLE1
DBV005063, BUREAU FOKONTANY SALLE3
DBV005066, CEG ANDRANOMENA SALLE 4
DBV005067, CEG ANDRANOMENA SALLE 2
DBV005068, CEG ANDRANOMENA SALLE 2
DBV005074, EPP AMBOHINAORINA SALLE II
DBV005075, EPP AMBOHIDROA I SALLE2
DBV005076, EPP AMBOHIDROA I SALLE5
DBV005078, EPP MANDROSEZA SALLE 4
DBV005079, EPP MANDROSEZA SALLE 4
DBV005081, ECOLE SAINTE THERESE DE LISIEUX AMPASANIMALO SALLE 7
DBV005082, EPP MANDROSEZA SALLE 3
DBV005084, EPP MANDROSEZA SALLE 4
DBV005086, EPP MANDROSEZA SALLE 4
DBV005088, EPP AMBOHIMIANDRA SALLE 1
DBV005089, EPP AMBOHIMIANDRA SALLE 2
DBV005090, EPP AMBOHIMIANDRA SALLE 2
DBV005091, EPP AMBOHIMIANDRA SALLE 3
DBV005093, EPP AMBOHIMIANDRA SALLE 4
DBV005094, EPP ANDOHATAPENAKA Salle 10
DBV005095, EPP ANDOHATAPENAKA Salle 10
DBV005097, EPP ANDOHATAPENAKA Salle 10
DBV005098, EPP ANDOHATAPENAKA Salle 10
DBV005102, BUR FKT ANTETEZANA AFOVOANY II Salle 01
DBV005103, EPP AMBODIN'ISOTRY Salle 10
DBV005106, EPP AMBODIN'ISOTRY Salle 02
DBV005107, EPP AMBODIN'ISOTRY Salle 01
DBV005109, EPP AMBODIN'ISOTRY Salle 02
DBV005110, EPP AMBODIN'ISOTRY Salle 03 B
DBV005111, EPP AMBODIN'ISOTRY Salle 02
DBV005112, EPP AMBODIN'ISOTRY Salle 01
DBV005113, EPP BONGATSARA SALLE 2
DBV005115, EPP ANDOHATAPENAKA Salle 14 A
DBV005116, EPP ANDOHATAPENAKA Salle 02
DBV005118, EPP ANDOHATAPENAKA Salle 02
DBV005122, EPP ANDOHATAPENAKA Salle 02
DBV005123, EPP ANDOHATAPENAKA Salle 02
DBV005124, EPP ANDOHATAPENAKA Salle 02
DBV005126, EPP ANDOHATAPENAKA Salle 03
DBV005127, EPP ANDOHATAPENAKA Salle 07 A
DBV005128, EPP ANDOHATAPENAKA Salle 01
DBV005129, EPP ANDOHATAPENAKA Salle 02
DBV005130, EPP ANDOHATAPENAKA Salle 13
DBV005131, EPP ANDOHATAPENAKA Salle 11
DBV005132, EPP ANDOHATAPENAKA Salle 11
DBV005133, EPP ANDOHATAPENAKA Salle 13
DBV005134, EPP ANDOHATAPENAKA Salle 10
DBV005135, EPP VOLOSARIKA SALLE 5B
DBV005136, EPP VOLOSARIKA SALLE 1B
DBV005137, EPP VOLOSARIKA SALLE 3B
DBV005141, EPP VOLOSARIKA SALLE 3B
DBV005142, EPP VOLOSARIKA SALLE 3B
DBV005143, EPP VOLOSARIKA SALLE 6B
DBV005145, BUR FKT AMBANIDIA-MIANDRARIVO SALLE 2C
DBV005148, BUR FKT AMBANIDIA-MIANDRARIVO SALLE 2B
DBV005150, ECOLE NORMALE NIVEAU I Salle 2
DBV005151, EPP ANDRAVOAHANGY I SALLE 09 / A
DBV005152, EPP ANDRAVOAHANGY I SALLE 07 / A
DBV005154, EPP ANDRAVOAHANGY I SALLE 07 / A
DBV005155, EPP ANDRAVOAHANGY I SALLE 07 / B
DBV005156, EPP VOHIBOLA SALLE 5A
DBV005157, EPP VOHIBOLA SALLE 6A
DBV005158, EPP VOHIBOLA SALLE 5A
DBV005162, CEG ANTANIMENA III SALLE 15
DBV005163, CEG ANTANIMENA SALLE 03
DBV005165, TRANOMPOKONOLONA ANKORONDRANO SALLE 01
DBV005166, TRANOMPOKONOLONA ANKORONDRANO SALLE 03 / B
DBV005167, TRANOMPOKONOLONA ANKORONDRANO SALLE 03
DBV005169, EPP AMBATOMANOINA SALLE 2
DBV005170, ECOLE LE MOINEAUX AMPASANIMALO SALLE 4
DBV005172, ECOLE LE MOINEAUX AMPASANIMALO SALLE 4
DBV005174, EPP AMBOHIPO  Salle 03
DBV005175, EPP AMBOHIPO  Salle 05
DBV005176, EPP AMBOHIPO Salle 14
DBV005180, CEG AMBOHIPO SALLE 12
DBV005181, CEG AMBOHIPO SALLE 12
DBV005184, EPP ILANIVATO Salle 5 B
DBV005187, EPP AMPEFILOHA AMBODIRANO Salle 4
DBV005189, EPP AMPEFILOHA AMBODIRANO Salle 1
DBV005190, EPP AMPEFILOHA AMBODIRANO Salle 11
DBV005193, EPP ILANIVATO Salle 7
DBV005198, BUREAU FOKONTANY ANOSIBE O I Salle 3
DBV005200, CEG ANOSIBE Salle 3
DBV005209, ECOLE PRIVE AVOTRA Salle 10
DBV005210, ECOLE PRIVE AVOTRA Salle 6
DBV005211, ECOLE PRIVE AVOTRA Salle 6
DBV005212, ECOLE PRIVE AVOTRA Salle 6
DBV005213, ECOLE PRIVE AVOTRA Salle 10
DBV005215, EPP SOANIERANA I Salle 6
DBV005219, EPP SOANIERANA I Salle 7
DBV005220, TRANOMPOKONOLONA Salle 6
DBV005221, EPP FIADANANA Salle 8
DBV005223, ECOLE PRIVEE FAZA SALLE 3
DBV005224, ECOLE PRIVE AVOTRA Salle 10
DBV005225, BUREAU FOKONTANY ANOSIBE O I Salle 8
DBV005228, CEG ANOSIBE Salle 2
DBV005229, CEG ANOSIBE Salle 3
DBV005232, TRANOMPOKONOLONA ANKORONDRANO SALLE 03
DBV005235, CSB 1
DBV005236, EPP VOHIBOLA SALLE 02 / B
DBV005237, EPP VOHIBOLA SALLE 01
DBV005238, EPP VOHIBOLA SALLE 01 / B
